,"	province	","	city"
0,北京市,北京市
1,天津市,天津市
2,"	上海市","	上海市"
3,"	重庆市","	重庆市"
4,"	香港市","	香港市"
5,"	澳门市","	澳门市"
6,"	河北省","	石家庄市"
7,"	河北省","	唐山市"
8,"	河北省","	秦皇岛市"
9,"	河北省","	邯郸市"
10,"	河北省","	邢台市"
11,"	河北省","	保定市"
12,"	河北省","	张家口市"
13,"	河北省","	承德市"
14,"	河北省","	沧州市"
15,"	河北省","	廊坊市"
16,"	河北省","	衡水市"
17,"	河北省","	辛集市"
18,"	河北省","	藁城市"
19,"	河北省","	晋州市"
20,"	河北省","	新乐市"
21,"	河北省","	鹿泉市"
22,"	河北省","	遵化市"
23,"	河北省","	迁安市"
24,"	河北省","	武安市"
25,"	河北省","	南宫市"
26,"	河北省","	沙河市"
27,"	河北省","	涿州市"
28,"	河北省","	定州市"
29,"	河北省","	安国市"
30,"	河北省","	高碑店市"
31,"	河北省","	泊头市"
32,"	河北省","	任丘市"
33,"	河北省","	黄骅市"
34,"	河北省","	河间市"
35,"	河北省","	霸州市"
36,"	河北省","	三河市"
37,"	河北省","	冀州市"
38,"	河北省","	深州市"
39,"	内蒙古自治区","	呼和浩特市"
40,"	内蒙古自治区","	包头市"
41,"	内蒙古自治区","	乌海市"
42,"	内蒙古自治区","	赤峰市"
43,"	内蒙古自治区","	通辽市"
44,"	内蒙古自治区","	鄂尔多斯市"
45,"	内蒙古自治区","	呼伦贝尔市"
46,"	内蒙古自治区","	巴彦淖尔市"
47,"	内蒙古自治区","	乌兰察布市"
48,"	内蒙古自治区","	锡林郭勒盟"
49,"	内蒙古自治区","	兴安盟"
50,"	内蒙古自治区","	阿拉善盟"
51,"	内蒙古自治区","	霍林郭勒市"
52,"	内蒙古自治区","	满洲里市"
53,"	内蒙古自治区","	牙克石市"
54,"	内蒙古自治区","	扎兰屯市"
55,"	内蒙古自治区","	根河市"
56,"	内蒙古自治区","	额尔古纳市"
57,"	内蒙古自治区","	丰镇市"
58,"	内蒙古自治区","	锡林浩特市"
59,"	内蒙古自治区","	二连浩特市"
60,"	内蒙古自治区","	乌兰浩特市"
61,"	内蒙古自治区","	阿尔山市"
62,"	辽宁省","	沈阳市"
63,"	辽宁省","	大连市"
64,"	辽宁省","	鞍山市"
65,"	辽宁省","	抚顺市"
66,"	辽宁省","	本溪市"
67,"	辽宁省","	丹东市"
68,"	辽宁省","	锦州市"
69,"	辽宁省","	营口市"
70,"	辽宁省","	阜新市"
