,consume,province
0,1194,河北省
1,1069.083333,河北省
2,1255.416667,山西省
3,1197,山西省
4,1972.5,辽宁省
5,1974.416667,辽宁省
6,1148.833333,吉林省
7,1219.166667,吉林省
8,2989.583333,江苏省
9,2640.166667,江苏省
10,2561.916667,浙江省
11,2392.666667,浙江省
12,1288.833333,安徽省
13,1161.75,安徽省
14,1946.25,福建省
15,1735.666667,福建省
16,1336.666667,江西省
17,1207.416667,江西省
18,2155,山东省
19,1723.666667,山东省
20,1336.916667,河南省
21,1208.916667,河南省
22,1615.916667,湖北省
23,1452.416667,湖北省
24,1457.5,湖南省
25,1357.416667,湖南省
26,2374.583333,广东省
27,2197.083333,广东省
28,1535.916667,海南省
29,1418.25,海南省
30,1334.416667,四川省
31,1231.166667,四川省
32,1222.166667,贵州省
33,1073,贵州省
34,1211.166667,云南省
35,1116.75,云南省
36,1388.083333,陕西省
37,1280.25,陕西省
38,1090.5,甘肃省
39,989,甘肃省
40,1395.916667,青海省
41,1263.916667,青海省
42,1449.416667,黑龙江省
43,1370.25,黑龙江省
44,3118.75,北京市
45,2787.44875,上海市
46,1212.4825,重庆市
47,1949.44,天津市
